"Datum";"+A/73068189 [kW]";"Status";
"03.01.2025 13:45:00";0,742;"namìøená data OK";
"03.01.2025 14:00:00";0,735;"namìøená data OK";
"03.01.2025 14:15:00";1,002;"namìøená data OK";
"03.01.2025 14:30:00";1,288;"namìøená data OK";
"03.01.2025 14:45:00";1,393;"namìøená data OK";
"03.01.2025 15:00:00";1,381;"namìøená data OK";
"03.01.2025 15:15:00";1,319;"namìøená data OK";
"03.01.2025 15:30:00";1,409;"namìøená data OK";
"03.01.2025 15:45:00";1,566;"namìøená data OK";
"03.01.2025 16:00:00";1,597;"namìøená data OK";
"03.01.2025 16:15:00";1,56;"namìøená data OK";
"03.01.2025 16:30:00";1,583;"namìøená data OK";
"03.01.2025 16:45:00";1,736;"namìøená data OK";
"03.01.2025 17:00:00";1,481;"namìøená data OK";
"03.01.2025 17:15:00";1,456;"namìøená data OK";
"03.01.2025 17:30:00";1,588;"namìøená data OK";
"03.01.2025 17:45:00";1,728;"namìøená data OK";
"03.01.2025 18:00:00";1,548;"namìøená data OK";
"03.01.2025 18:15:00";1,492;"namìøená data OK";
"03.01.2025 18:30:00";1,536;"namìøená data OK";
"03.01.2025 18:45:00";1,771;"namìøená data OK";
"03.01.2025 19:00:00";1,716;"namìøená data OK";
"03.01.2025 19:15:00";1,609;"namìøená data OK";
"03.01.2025 19:30:00";1,789;"namìøená data OK";
"03.01.2025 19:45:00";1,467;"namìøená data OK";
"03.01.2025 20:00:00";1,479;"namìøená data OK";
"03.01.2025 20:15:00";1,635;"namìøená data OK";
"03.01.2025 20:30:00";1,794;"namìøená data OK";
"03.01.2025 20:45:00";1,631;"namìøená data OK";
"03.01.2025 21:00:00";1,619;"namìøená data OK";
"03.01.2025 21:15:00";1,627;"namìøená data OK";
"03.01.2025 21:30:00";1,768;"namìøená data OK";
"03.01.2025 21:45:00";1,717;"namìøená data OK";
"03.01.2025 22:00:00";1,589;"namìøená data OK";
"03.01.2025 22:15:00";1,771;"namìøená data OK";
"03.01.2025 22:30:00";1,842;"namìøená data OK";
"03.01.2025 22:45:00";1,778;"namìøená data OK";
"03.01.2025 23:00:00";1,673;"namìøená data OK";
"03.01.2025 23:15:00";1,744;"namìøená data OK";
"03.01.2025 23:30:00";1,707;"namìøená data OK";
"03.01.2025 23:45:00";1,761;"namìøená data OK";
"03.01.2025 24:00:00";1,676;"namìøená data OK";
"04.01.2025 00:15:00";1,718;"namìøená data OK";
"04.01.2025 00:30:00";1,779;"namìøená data OK";
"04.01.2025 00:45:00";1,789;"namìøená data OK";
"04.01.2025 01:00:00";1,927;"namìøená data OK";
"04.01.2025 01:15:00";1,756;"namìøená data OK";
"04.01.2025 01:30:00";1,687;"namìøená data OK";
"04.01.2025 01:45:00";1,762;"namìøená data OK";
"04.01.2025 02:00:00";1,934;"namìøená data OK";
"04.01.2025 02:15:00";1,82;"namìøená data OK";
"04.01.2025 02:30:00";1,814;"namìøená data OK";
"04.01.2025 02:45:00";1,759;"namìøená data OK";
"04.01.2025 03:00:00";1,826;"namìøená data OK";
"04.01.2025 03:15:00";1,853;"namìøená data OK";
